"CIA","DATA","weighted_income","tratamento"
"AVI",2014-01-01,412.152998634933,0
"AVI",2014-02-01,445.005091643717,0
"AVI",2014-03-01,433.466297734032,0
"AVI",2014-04-01,419.132090705122,0
"AVI",2014-05-01,375.914298992354,0
"AVI",2014-06-01,398.949472926828,0
"AVI",2014-07-01,408.404972762391,0
"AVI",2014-08-01,409.447482453803,0
"AVI",2014-09-01,369.669720336051,0
"AVI",2014-10-01,374.059323213401,0
"AVI",2014-11-01,455.200591611451,0
"AVI",2014-12-01,401.523252095349,0
"AVI",2015-01-01,386.165276315995,0
"AVI",2015-02-01,356.083643257987,0
"AVI",2015-03-01,358.802883091259,0
"AVI",2015-04-01,340.780797933643,0
"AVI",2015-05-01,378.560253074764,0
"AVI",2015-06-01,390.519207969737,0
"AVI",2015-07-01,421.906776589543,0
"AVI",2015-08-01,408.088219192041,0
"AVI",2015-09-01,437.169203784136,0
"AVI",2015-10-01,446.957789592496,0
"AVI",2015-11-01,399.213274697669,0
"AVI",2015-12-01,381.721471893403,0
"AVI",2016-01-01,372.823089916412,0
"AVI",2016-02-01,362.097690540706,0
"AVI",2016-03-01,332.977298185828,0
"AVI",2016-04-01,320.19242914418,0
"AVI",2016-05-01,312.838358264567,0
"AVI",2016-06-01,310.809096321762,0
"AVI",2016-07-01,332.485665594467,0
"AVI",2016-08-01,338.970498925168,0
"AVI",2016-09-01,364.826004368839,0
"AVI",2016-10-01,406.83789997803,0
"AVI",2016-11-01,383.791880323374,0
"AVI",2016-12-01,368.509627549856,0
"AVI",2017-01-01,350.905011979427,0
"AVI",2017-02-01,333.783907292268,0
"AVI",2017-03-01,311.905703721623,0
"AVI",2017-04-01,338.03259480952,0
"AVI",2017-05-01,299.128501601347,0
"AVI",2017-06-01,328.55345253492,0
"AVI",2017-07-01,348.612277339086,0
"AVI",2017-08-01,331.242970656379,0
"AVI",2017-09-01,345.372835449223,0
"AVI",2017-10-01,397.741607500098,1
"AVI",2017-11-01,392.826043609191,1
"AVI",2017-12-01,439.328651722076,1
"AVI",2018-01-01,384.361480460676,1
"AVI",2018-02-01,335.827227166158,1
"AVI",2018-03-01,346.953587434552,1
